Tag Name,Type,Description,PLC Address
"PLC_DI_Tags.Data_12","bool","DI13 value",""
"PLC_DI_Tags.Data_13","bool","DI14 value",""
"PLC_DI_Tags.Data_14","bool","DI15 value",""
"PLC_DI_Tags.Data_15","bool","DI16 value",""
"Temp_Tags.IO_LIST","int","Active IO list tab (1=input, 2=output)",""
"PLC_DI_Discr.List_01","string","PLC DI list 01 title",""
"PLC_DI_Discr.Data_00","string","DI01 System Start PB",""
"PLC_DI_Discr.Data_01","string","DI02 System Stop PB",""
"PLC_DI_Discr.Data_02","string","DI03 System Reset PB",""
"PLC_DI_Discr.Data_03","string","DI04 Safety Reset PB",""
"PLC_DI_Discr.Data_04","string","DI05 Spare DI",""
"PLC_DI_Discr.Data_05","string","DI06 Spare DI",""
"PLC_DI_Discr.Data_06","string","DI07 Spare DI",""
"PLC_DI_Discr.Data_07","string","DI08 Chopper Air Pressure Switch",""
"PLC_DI_No.Data_00","int","1",""
"PLC_DI_No.Data_01","int","2",""
"PLC_DI_No.Data_02","int","3",""
"PLC_DI_No.Data_03","int","4",""
"PLC_DI_No.Data_04","int","5",""
"PLC_DI_No.Data_05","int","6",""
"PLC_DI_No.Data_06","int","7",""
"PLC_DI_No.Data_07","int","8",""
"PLC_DI_Tags.Data_00","bool","DI01 value",""
"PLC_DI_Tags.Data_01","bool","DI02 value",""
"PLC_DI_Tags.Data_02","bool","DI03 value",""
"PLC_DI_Tags.Data_03","bool","DI04 value",""
"PLC_DI_Tags.Data_04","bool","DI05 value",""
"PLC_DI_Tags.Data_05","bool","DI06 value",""
"PLC_DI_Tags.Data_06","bool","DI07 value",""
"PLC_DI_Tags.Data_07","bool","DI08 value",""
"PLC_DO_Discr.List_01","string","PLC DO list 01 title",""
"PLC_DO_Discr.Data_00","string","DO01 Run Lamp @ Main Panel",""
"PLC_DO_Discr.Data_01","string","DO02 Fault Lamp @ Main Panel",""
"PLC_DO_Discr.Data_02","string","DO03 Horn @ Main Panel",""
"PLC_DO_Discr.Data_03","string","DO04 Stack Light Green",""
"PLC_DO_Discr.Data_04","string","DO05 Stack Light Amber",""
"PLC_DO_Discr.Data_05","string","DO06 Stack Light Red",""
"PLC_DO_Discr.Data_06","string","DO07 Conveyor Forward",""
"PLC_DO_Discr.Data_07","string","DO08 Conveyor Reverse",""
"PLC_DO_No.Data_00","int","1",""
"PLC_DO_No.Data_01","int","2",""
"PLC_DO_No.Data_02","int","3",""
"PLC_DO_No.Data_03","int","4",""
"PLC_DO_No.Data_04","int","5",""
"PLC_DO_No.Data_05","int","6",""
"PLC_DO_No.Data_06","int","7",""
"PLC_DO_No.Data_07","int","8",""
"PLC_DO_Tags.Data_00","bool","DO01 value",""
"PLC_DO_Tags.Data_01","bool","DO02 value",""
"PLC_DO_Tags.Data_02","bool","DO03 value",""
"PLC_DO_Tags.Data_03","bool","DO04 value",""
"PLC_DO_Tags.Data_04","bool","DO05 value",""
"PLC_DO_Tags.Data_05","bool","DO06 value",""
"PLC_DO_Tags.Data_06","bool","DO07 value",""
"PLC_DO_Tags.Data_07","bool","DO08 value",""
"Safety_DI_Discr.Safety_List_01","string","Safety DI list 01 title",""
"Safety_DI_Discr.Data_00","string","SDI01 E-Stop Channel 1",""
"Safety_DI_Discr.Data_01","string","SDI02 E-Stop Channel 2",""
"Safety_DI_Discr.Data_02","string","SDI03 Safety Door 1",""
"Safety_DI_Discr.Data_03","string","SDI04 Safety Door 2",""
"Safety_DI_Discr.Data_04","string","SDI05 Light Curtain",""
"Safety_DI_Discr.Data_05","string","SDI06 Spare Safety DI",""
"Safety_DI_Discr.Data_06","string","SDI07 Spare Safety DI",""
"Safety_DI_Discr.Data_07","string","SDI08 Reset PB",""
"Safety_DI_No.Data_00","int","1",""
"Safety_DI_No.Data_01","int","2",""
"Safety_DI_No.Data_02","int","3",""
"Safety_DI_No.Data_03","int","4",""
"Safety_DI_No.Data_04","int","5",""
"Safety_DI_No.Data_05","int","6",""
"Safety_DI_No.Data_06","int","7",""
"Safety_DI_No.Data_07","int","8",""
"Safety_DI_Tags.Data_00","bool","SDI01 value",""
"Safety_DI_Tags.Data_01","bool","SDI02 value",""
"Safety_DI_Tags.Data_02","bool","SDI03 value",""
"Safety_DI_Tags.Data_03","bool","SDI04 value",""
"Safety_DI_Tags.Data_04","bool","SDI05 value",""
"Safety_DI_Tags.Data_05","bool","SDI06 value",""
"Safety_DI_Tags.Data_06","bool","SDI07 value",""
"Safety_DI_Tags.Data_07","bool","SDI08 value",""
"Safety_DO_Discr.Safety_List_01","string","Safety DO list 01 title",""
"Safety_DO_Discr.Data_00","string","SDO01 Safety Relay K1",""
"Safety_DO_Discr.Data_01","string","SDO02 Safety Relay K2",""
"Safety_DO_Discr.Data_02","string","SDO03 Door Lock 1",""
"Safety_DO_Discr.Data_03","string","SDO04 Door Lock 2",""
"Safety_DO_Discr.Data_04","string","SDO05 Stack Light Red",""
"Safety_DO_Discr.Data_05","string","SDO06 Spare Safety DO",""
"Safety_DO_Discr.Data_06","string","SDO07 Spare Safety DO",""
"Safety_DO_Discr.Data_07","string","SDO08 Spare Safety DO",""
"Safety_DO_No.Data_00","int","1",""
"Safety_DO_No.Data_01","int","2",""
"Safety_DO_No.Data_02","int","3",""
"Safety_DO_No.Data_03","int","4",""
"Safety_DO_No.Data_04","int","5",""
"Safety_DO_No.Data_05","int","6",""
"Safety_DO_No.Data_06","int","7",""
"Safety_DO_No.Data_07","int","8",""
"Safety_DO_Tags.Data_00","bool","SDO01 value",""
"Safety_DO_Tags.Data_01","bool","SDO02 value",""
"Safety_DO_Tags.Data_02","bool","SDO03 value",""
"Safety_DO_Tags.Data_03","bool","SDO04 value",""
"Safety_DO_Tags.Data_04","bool","SDO05 value",""
"Safety_DO_Tags.Data_05","bool","SDO06 value",""
"Safety_DO_Tags.Data_06","bool","SDO07 value",""
"Safety_DO_Tags.Data_07","bool","SDO08 value",""
